Filename	TierName	Annotation	Duration_msec	Onset_sec	Offset_sec
NEWCARD_01alter	Trial	T001	9840.0	71.800	81.640
NEWCARD_01alter	Trial	T002	15660.0	82.420	98.080
NEWCARD_01alter	Trial	T003	12160.0	104.080	116.240
NEWCARD_01alter	Trial	T004	13540.0	127.780	141.320
NEWCARD_01alter	Trial	T005	7180.0	141.740	148.920
NEWCARD_01alter	Trial	T006	12280.0	464.180	476.460
NEWCARD_01alter	Trial	T007	11780.0	477.880	489.660
NEWCARD_01alter	Trial	T008	9720.0	495.960	505.680
NEWCARD_01alter	Trial	T009	16840.0	512.100	528.940
NEWCARD_01alter	Trial	T010	6140.0	533.280	539.420
NEWCARD_01alter	Trial	T011	12040.0	734.500	746.540
NEWCARD_01alter	Trial	T012	12380.0	749.940	762.320
NEWCARD_01alter	Trial	T013	13720.0	769.180	782.900
NEWCARD_01alter	Trial	T014	8080.0	1025.080	1033.160
NEWCARD_01alter	Trial	T015	14400.0	1039.600	1054.000
NEWCARD_01alter	Trial	T016	7780.0	1062.840	1070.620
NEWCARD_01alter	Trial	T017	4640.0	1073.560	1078.200
NEWCARD_01alter	Trial	T018	12420.0	1079.980	1092.400
NEWCARD_01alter	Trial	T019	21840.0	1344.180	1366.020
NEWCARD_01alter	Trial	T020	4780.0	1377.320	1382.100
NEWCARD_01alter	Trial	T021	5560.0	1384.460	1390.020
NEWCARD_01alter	Trial	T022	6860.0	1390.880	1397.740
NEWCARD_01alter	Trial	T023	15060.0	1584.040	1599.100
NEWCARD_01alter	Trial	T024	6120.0	1600.660	1606.780
NEWCARD_01alter	Trial	T025	8980.0	1607.020	1616.000
NEWCARD_01alter	Trial	T026	8300.0	1618.520	1626.820
NEWCARD_01alter	Trial	T027	6320.0	1825.760	1832.080
NEWCARD_01alter	Trial	T028	9180.0	1833.720	1842.900
NEWCARD_01alter	Trial	T029	18700.0	1850.020	1868.720
NEWCARD_01alter	Trial	T030	6260.0	2063.880	2070.140
NEWCARD_01alter	Trial	T031	13760.0	2074.900	2088.660
NEWCARD_01alter	Trial	T032	7120.0	2091.900	2099.020
NEWCARD_01alter	Trial	T033	17880.0	2099.960	2117.840
NEWCARD_01alter	Trial	T034	12940.0	2120.000	2132.940
NEWCARD_01alter	Trial	T035	10680.0	2267.320	2278.000
NEWCARD_01alter	Trial	T036	17560.0	2280.000	2297.560
NEWCARD_01alter	Trial	T037	9100.0	2297.880	2306.980
NEWCARD_01alter	Trial	T038	6860.0	2307.840	2314.700
NEWCARD_01alter	Trial	T039	13480.0	2513.860	2527.340
NEWCARD_01alter	Trial	T040	12380.0	2527.820	2540.200
NEWCARD_01alter	Trial	T041	16760.0	2541.960	2558.720
NEWCARD_01alter	Trial	T042	6060.0	2559.980	2566.040
