Filename	TierName	Annotation	Duration_msec	Onset_sec	Offset_sec
NEWCARD_01alter	Trial	T001	9840.0	71.800	81.640
NEWCARD_01alter	Trial	T002	15660.0	82.420	98.080
NEWCARD_01alter	Trial	T003	12160.0	104.080	116.240
NEWCARD_01alter	Trial	T004	13540.0	127.780	141.320
NEWCARD_01alter	Trial	T005	7180.0	141.740	148.920
NEWCARD_01alter	Trial	T006	8600.0	234.760	243.360
NEWCARD_01alter	Trial	T007	3780.0	264.000	267.780
NEWCARD_01alter	Trial	T008	6400.0	267.920	274.320
NEWCARD_01alter	Trial	T009	3900.0	274.420	278.320
NEWCARD_01alter	Trial	T010	3160.0	288.180	291.340
NEWCARD_01alter	Trial	T011	7400.0	295.380	302.780
NEWCARD_01alter	Trial	T012	2680.0	302.840	305.520
NEWCARD_01alter	Trial	T013	2660.0	306.500	309.160
NEWCARD_01alter	Trial	T014	7533.0	334.432	341.965
NEWCARD_01alter	Trial	T015	5100.0	343.880	348.980
NEWCARD_01alter	Trial	T016	12280.0	464.180	476.460
NEWCARD_01alter	Trial	T017	11780.0	477.880	489.660
NEWCARD_01alter	Trial	T018	9720.0	495.960	505.680
NEWCARD_01alter	Trial	T019	16840.0	512.100	528.940
NEWCARD_01alter	Trial	T020	6140.0	533.280	539.420
NEWCARD_01alter	Trial	T021	14260.0	600.600	614.860
NEWCARD_01alter	Trial	T022	22700.0	618.666	641.366
NEWCARD_01alter	Trial	T023	8340.0	650.640	658.980
NEWCARD_01alter	Trial	T024	4620.0	667.580	672.200
NEWCARD_01alter	Trial	T025	4540.0	672.280	676.820
NEWCARD_01alter	Trial	T026	6380.0	680.580	686.960
NEWCARD_01alter	Trial	T027	2880.0	687.800	690.680
NEWCARD_01alter	Trial	T028	1880.0	691.310	693.190
NEWCARD_01alter	Trial	T029	12040.0	734.500	746.540
NEWCARD_01alter	Trial	T030	12380.0	749.940	762.320
NEWCARD_01alter	Trial	T031	13720.0	769.180	782.900
NEWCARD_01alter	Trial	T032	5020.0	837.460	842.480
NEWCARD_01alter	Trial	T033	3100.0	843.199	846.299
NEWCARD_01alter	Trial	T034	9060.0	874.520	883.580
NEWCARD_01alter	Trial	T035	12233.0	886.032	898.265
NEWCARD_01alter	Trial	T036	5560.0	919.080	924.640
NEWCARD_01alter	Trial	T037	2720.0	927.980	930.700
NEWCARD_01alter	Trial	T038	6134.0	931.398	937.532
NEWCARD_01alter	Trial	T039	9600.0	940.598	950.198
NEWCARD_01alter	Trial	T040	8080.0	1025.080	1033.160
NEWCARD_01alter	Trial	T041	14400.0	1039.600	1054.000
NEWCARD_01alter	Trial	T042	7780.0	1062.840	1070.620
NEWCARD_01alter	Trial	T043	4640.0	1073.560	1078.200
NEWCARD_01alter	Trial	T044	12420.0	1079.980	1092.400
